 round 86 : target (178,45) 17.6 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 144.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 144.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 87 : target (178,45) 17.2 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 143.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 143.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 88 : target (178,45) 16.8 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 142.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 142.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 89 : target (178,45) 16.4 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 141.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 141.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 90 : target (178,45) 16.0 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 140.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 140.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 91 : target (178,45) 15.6 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 139.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 139.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 92 : target (178,45) 15.2 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 138.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 138.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 93 : target (178,45) 14.8 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 137.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 137.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 94 : target (178,45) 14.4 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 136.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 136.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
 round 95 : target (178,45) 14.0 ; plane (127,127) 1 ; prop (170,125) 2 ;  [ HP 135.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ]  [ HP 135.0 pos (127,127) color 1 A L1 S0 PA1 PH0 AC0(0) ] 
